discr,reduction,operator,freq,cds,corpus,base,context_type,dimensionality,neg,similarity,SimLex999,men
cpmi,raw,head,logn,1,ukwac_wackypedia,,nvaa,40000,,correlation,0.371,0.75
cpmi,raw,head,logn,1,ukwac_wackypedia,,nvaa,40000,,cos,0.312,0.714
cpmi,raw,head,logn,1,ukwac_wackypedia,,nvaa,50000,,correlation,0.37,0.749
cpmi,raw,head,logn,1,ukwac_wackypedia,,nvaa,50000,,cos,0.312,0.714
cpmi,raw,head,logn,global,ukwac_wackypedia,,nvaa,1000,,correlation,0.309,0.646
cpmi,raw,head,logn,global,ukwac_wackypedia,,nvaa,1000,,cos,0.294,0.61
cpmi,raw,head,logn,global,ukwac_wackypedia,,nvaa,2000,,correlation,0.329,0.686
cpmi,raw,head,logn,global,ukwac_wackypedia,,nvaa,2000,,cos,0.305,0.653
cpmi,raw,head,logn,global,ukwac_wackypedia,,nvaa,3000,,correlation,0.337,0.699
cpmi,raw,head,logn,global,ukwac_wackypedia,,nvaa,3000,,cos,0.304,0.665
cpmi,raw,head,logn,global,ukwac_wackypedia,,nvaa,5000,,correlation,0.346,0.71
cpmi,raw,head,logn,global,ukwac_wackypedia,,nvaa,5000,,cos,0.3,0.671
cpmi,raw,head,logn,global,ukwac_wackypedia,,nvaa,10000,,correlation,0.358,0.726
cpmi,raw,head,logn,global,ukwac_wackypedia,,nvaa,10000,,cos,0.3,0.679
cpmi,raw,head,logn,global,ukwac_wackypedia,,nvaa,20000,,correlation,0.366,0.739
cpmi,raw,head,logn,global,ukwac_wackypedia,,nvaa,20000,,cos,0.297,0.686
cpmi,raw,head,logn,global,ukwac_wackypedia,,nvaa,30000,,correlation,0.365,0.741
cpmi,raw,head,logn,global,ukwac_wackypedia,,nvaa,30000,,cos,0.294,0.688
cpmi,raw,head,logn,global,ukwac_wackypedia,,nvaa,40000,,correlation,0.364,0.74
cpmi,raw,head,logn,global,ukwac_wackypedia,,nvaa,40000,,cos,0.291,0.688
cpmi,raw,head,logn,global,ukwac_wackypedia,,nvaa,50000,,correlation,0.362,0.739
cpmi,raw,head,logn,global,ukwac_wackypedia,,nvaa,50000,,cos,0.291,0.688
cpmi,raw,head,n,0.75,ukwac_wackypedia,,nvaa,1000,,correlation,0.162,0.308
cpmi,raw,head,n,0.75,ukwac_wackypedia,,nvaa,1000,,cos,0.163,0.307
cpmi,raw,head,n,0.75,ukwac_wackypedia,,nvaa,2000,,correlation,0.176,0.372
cpmi,raw,head,n,0.75,ukwac_wackypedia,,nvaa,2000,,cos,0.177,0.37
cpmi,raw,head,n,0.75,ukwac_wackypedia,,nvaa,3000,,correlation,0.174,0.387
cpmi,raw,head,n,0.75,ukwac_wackypedia,,nvaa,3000,,cos,0.174,0.386
cpmi,raw,head,n,0.75,ukwac_wackypedia,,nvaa,5000,,correlation,0.176,0.411
cpmi,raw,head,n,0.75,ukwac_wackypedia,,nvaa,5000,,cos,0.176,0.41
cpmi,raw,head,n,0.75,ukwac_wackypedia,,nvaa,10000,,correlation,0.175,0.41
cpmi,raw,head,n,0.75,ukwac_wackypedia,,nvaa,10000,,cos,0.175,0.409
cpmi,raw,head,n,0.75,ukwac_wackypedia,,nvaa,20000,,correlation,0.172,0.388
cpmi,raw,head,n,0.75,ukwac_wackypedia,,nvaa,20000,,cos,0.172,0.387
cpmi,raw,head,n,0.75,ukwac_wackypedia,,nvaa,30000,,correlation,0.169,0.385
cpmi,raw,head,n,0.75,ukwac_wackypedia,,nvaa,30000,,cos,0.169,0.385
cpmi,raw,head,n,0.75,ukwac_wackypedia,,nvaa,40000,,correlation,0.169,0.378
cpmi,raw,head,n,0.75,ukwac_wackypedia,,nvaa,40000,,cos,0.169,0.378
cpmi,raw,head,n,0.75,ukwac_wackypedia,,nvaa,50000,,correlation,0.168,0.376
cpmi,raw,head,n,0.75,ukwac_wackypedia,,nvaa,50000,,cos,0.168,0.376
cpmi,raw,head,n,1,ukwac_wackypedia,,nvaa,1000,,correlation,0.211,0.487
cpmi,raw,head,n,1,ukwac_wackypedia,,nvaa,1000,,cos,0.21,0.475
cpmi,raw,head,n,1,ukwac_wackypedia,,nvaa,2000,,correlation,0.221,0.584
cpmi,raw,head,n,1,ukwac_wackypedia,,nvaa,2000,,cos,0.221,0.575
cpmi,raw,head,n,1,ukwac_wackypedia,,nvaa,3000,,correlation,0.219,0.605
cpmi,raw,head,n,1,ukwac_wackypedia,,nvaa,3000,,cos,0.219,0.597
cpmi,raw,head,n,1,ukwac_wackypedia,,nvaa,5000,,correlation,0.226,0.629
cpmi,raw,head,n,1,ukwac_wackypedia,,nvaa,5000,,cos,0.225,0.623
cpmi,raw,head,n,1,ukwac_wackypedia,,nvaa,10000,,correlation,0.23,0.626
cpmi,raw,head,n,1,ukwac_wackypedia,,nvaa,10000,,cos,0.23,0.622
cpmi,raw,head,n,1,ukwac_wackypedia,,nvaa,20000,,correlation,0.229,0.616
cpmi,raw,head,n,1,ukwac_wackypedia,,nvaa,20000,,cos,0.229,0.613
cpmi,raw,head,n,1,ukwac_wackypedia,,nvaa,30000,,correlation,0.226,0.614
cpmi,raw,head,n,1,ukwac_wackypedia,,nvaa,30000,,cos,0.226,0.612
cpmi,raw,head,n,1,ukwac_wackypedia,,nvaa,40000,,correlation,0.225,0.609
cpmi,raw,head,n,1,ukwac_wackypedia,,nvaa,40000,,cos,0.225,0.607
cpmi,raw,head,n,1,ukwac_wackypedia,,nvaa,50000,,correlation,0.224,0.607
cpmi,raw,head,n,1,ukwac_wackypedia,,nvaa,50000,,cos,0.224,0.605
cpmi,raw,head,n,global,ukwac_wackypedia,,nvaa,1000,,correlation,0.195,0.425
cpmi,raw,head,n,global,ukwac_wackypedia,,nvaa,1000,,cos,0.196,0.418
cpmi,raw,head,n,global,ukwac_wackypedia,,nvaa,2000,,correlation,0.207,0.516
cpmi,raw,head,n,global,ukwac_wackypedia,,nvaa,2000,,cos,0.208,0.507
cpmi,raw,head,n,global,ukwac_wackypedia,,nvaa,3000,,correlation,0.206,0.539
cpmi,raw,head,n,global,ukwac_wackypedia,,nvaa,3000,,cos,0.207,0.531
cpmi,raw,head,n,global,ukwac_wackypedia,,nvaa,5000,,correlation,0.211,0.569
cpmi,raw,head,n,global,ukwac_wackypedia,,nvaa,5000,,cos,0.212,0.563
cpmi,raw,head,n,global,ukwac_wackypedia,,nvaa,10000,,correlation,0.214,0.573
cpmi,raw,head,n,global,ukwac_wackypedia,,nvaa,10000,,cos,0.214,0.569
cpmi,raw,head,n,global,ukwac_wackypedia,,nvaa,20000,,correlation,0.214,0.564
cpmi,raw,head,n,global,ukwac_wackypedia,,nvaa,20000,,cos,0.214,0.561
cpmi,raw,head,n,global,ukwac_wackypedia,,nvaa,30000,,correlation,0.21,0.563
cpmi,raw,head,n,global,ukwac_wackypedia,,nvaa,30000,,cos,0.21,0.561
cpmi,raw,head,n,global,ukwac_wackypedia,,nvaa,40000,,correlation,0.211,0.558
cpmi,raw,head,n,global,ukwac_wackypedia,,nvaa,40000,,cos,0.211,0.557
cpmi,raw,head,n,global,ukwac_wackypedia,,nvaa,50000,,correlation,0.21,0.557
cpmi,raw,head,n,global,ukwac_wackypedia,,nvaa,50000,,cos,0.21,0.555
n,raw,head,1,global,ukwac_wackypedia,,nvaa,1000,,correlation,0.18,0.356
n,raw,head,1,global,ukwac_wackypedia,,nvaa,1000,,cos,0.182,0.36
n,raw,head,1,global,ukwac_wackypedia,,nvaa,2000,,correlation,0.188,0.35
n,raw,head,1,global,ukwac_wackypedia,,nvaa,2000,,cos,0.19,0.352
n,raw,head,1,global,ukwac_wackypedia,,nvaa,3000,,correlation,0.188,0.344
n,raw,head,1,global,ukwac_wackypedia,,nvaa,3000,,cos,0.19,0.346
n,raw,head,1,global,ukwac_wackypedia,,nvaa,5000,,correlation,0.189,0.344
n,raw,head,1,global,ukwac_wackypedia,,nvaa,5000,,cos,0.19,0.345
n,raw,head,1,global,ukwac_wackypedia,,nvaa,10000,,correlation,0.187,0.341
n,raw,head,1,global,ukwac_wackypedia,,nvaa,10000,,cos,0.188,0.341
n,raw,head,1,global,ukwac_wackypedia,,nvaa,20000,,correlation,0.186,0.324
n,raw,head,1,global,ukwac_wackypedia,,nvaa,20000,,cos,0.186,0.324
n,raw,head,1,global,ukwac_wackypedia,,nvaa,30000,,correlation,0.183,0.321
n,raw,head,1,global,ukwac_wackypedia,,nvaa,30000,,cos,0.183,0.322
n,raw,head,1,global,ukwac_wackypedia,,nvaa,40000,,correlation,0.183,0.319
n,raw,head,1,global,ukwac_wackypedia,,nvaa,40000,,cos,0.183,0.319
n,raw,head,1,global,ukwac_wackypedia,,nvaa,50000,,correlation,0.183,0.318
n,raw,head,1,global,ukwac_wackypedia,,nvaa,50000,,cos,0.183,0.318
scpmi,raw,head,1,0.75,ukwac_wackypedia,e,nvaa,1000,0.2,correlation,0.312,0.652
scpmi,raw,head,1,0.75,ukwac_wackypedia,e,nvaa,1000,0.2,cos,0.251,0.559
scpmi,raw,head,1,0.75,ukwac_wackypedia,e,nvaa,1000,0.5,correlation,0.312,0.652
scpmi,raw,head,1,0.75,ukwac_wackypedia,e,nvaa,1000,0.5,cos,0.315,0.637
scpmi,raw,head,1,0.75,ukwac_wackypedia,e,nvaa,1000,0.7,correlation,0.325,0.68
scpmi,raw,head,1,0.75,ukwac_wackypedia,e,nvaa,1000,0.7,cos,0.332,0.679
scpmi,raw,head,1,0.75,ukwac_wackypedia,e,nvaa,1000,1,correlation,0.267,0.636
scpmi,raw,head,1,0.75,ukwac_wackypedia,e,nvaa,1000,1,cos,0.264,0.64
scpmi,raw,head,1,0.75,ukwac_wackypedia,e,nvaa,1000,1.4,correlation,0.262,0.532
scpmi,raw,head,1,0.75,ukwac_wackypedia,e,nvaa,1000,1.4,cos,0.224,0.545
scpmi,raw,head,1,0.75,ukwac_wackypedia,e,nvaa,1000,2,correlation,0.191,0.363
